vidId,vidTitle,vidUrl,viewCount,likeCount,chanName,chanUrl,subsCount,vidCount,category
_YJkaZJI7BM,"MAY 26,2023: Supertyphoon MAWAR ( pre- Betty ) patuloy ang pag lakas at ang epekto ng HPA",https://www.youtube.com/watch?v=_YJkaZJI7BM,91189,3523,Philippine Weather Trivia,https://www.youtube.com/channel/UC_iujq8sMT_aEf-_OCP4--w,122000,405,28
KvKMXAxCs1I,Dikirimin Acer SEMUA jenis laptop mereka...,https://www.youtube.com/watch?v=KvKMXAxCs1I,797744,25504,GadgetIn,https://www.youtube.com/channel/UC1dI4tO13ApuSX0QeX8pHng,10800000,1363,28
rsKXOnRhaNo,¿Se te puede PARALIZAR MEDIA CARA POR LOS BRACKETS?,https://www.youtube.com/watch?v=rsKXOnRhaNo,99274,7030,Clínica Avance Dental - Alcobendas,https://www.youtube.com/channel/UCRlbnjBr5RVKDYG8OJe4B1w,781000,490,28
TFmL0pKC1DU,Full Review Of Our Mustang Gt - @MRINDIANHACKER,https://www.youtube.com/watch?v=TFmL0pKC1DU,403688,50989,MR. INDIAN HACKER Vlogs,https://www.youtube.com/channel/UCOcD_2N04_XS6XgImIWcR1Q,2230000,114,28
rsrs4a212g0,FORD AND TESLA SUPERCHARGER ANNOUNCEMENT - Full Jim Farley and Elon Musk Twitter Space,https://www.youtube.com/watch?v=rsrs4a212g0,29899,1934,Farzad Mesbahi,https://www.youtube.com/channel/UCgbyN_o-Guwpyqfuuz3pyIw,57400,652,28
zVu7u2dKQkk,Gospel in the Pluralist Society (Kisah 17:16-34) | Prof. Sen Sendjaya (22 April 2023),https://www.youtube.com/watch?v=zVu7u2dKQkk,142,4,ICC Melbourne,https://www.youtube.com/channel/UCeG3IXgcemtnG44nvtUn6LQ,779,194,29
QShudWgK0Mo,The Tragedy Of Unbelief | Ps Erikman Tampbolon | 23 April 2023,https://www.youtube.com/watch?v=QShudWgK0Mo,121,24,CharismaticCityChurch official,https://www.youtube.com/channel/UCD3zUELgDElmbSIZD4ady_Q,859,538,29
Z8rXyyPzs28,Mendengar Tuhan Melalui Mimpi Penglihatan - Yoanes Kristianus,https://www.youtube.com/watch?v=Z8rXyyPzs28,380,43,Yoanes Kristianus,https://www.youtube.com/channel/UCyY8MF31q7yiCtvKV63RZ7A,30000,1393,29
ZuxzpN0onqo,KKR NET GMAHK DAERAH MISI SULAWESI TENGAH &amp; YAYASAN KORNELIUS | #2,https://www.youtube.com/watch?v=ZuxzpN0onqo,488,39,Kornelius Media,https://www.youtube.com/channel/UCJAGsVDXiXnf1yiJlT0QqRQ,8300,1856,29
8aVEviuPQAM,Selamat Idulfitri 1444H dari Pulau Obi,https://www.youtube.com/watch?v=8aVEviuPQAM,528,33,Harita Nickel,https://www.youtube.com/channel/UCIo4fviLXjgRV2CDpc4F55Q,12900,45,29
bhc1Pj05LLk,A Healthcare Career Like No Other - Only at Craig Hospital - 30-sec,https://www.youtube.com/watch?v=bhc1Pj05LLk,288658,10,Craig Hospital,https://www.youtube.com/channel/UCZU6BhDtMvHN-NZEA3vWoyg,13600,440,29
QrYofUtN5Zs,Ajakan Kebaikan untuk #LebihDariBerbagi bersama UNICEF Indonesia,https://www.youtube.com/watch?v=QrYofUtN5Zs,773385,21,UNICEF Indonesia,https://www.youtube.com/channel/UCLPBB674pZKov_gvXEUlIHA,23500,571,29
7pUhYtVcGu4,Gratis Pilih Hadiah Suka-Suka Untuk Semua Sahabat Alfamart!,https://www.youtube.com/watch?v=7pUhYtVcGu4,189369,2,Alfamart,https://www.youtube.com/channel/UCwEs8Aod-2YCSx7RVk6jZpA,21000,972,29
_jx0Rh2JvKw,Ayo Masak Sehat: Nusa Tenggara Timur,https://www.youtube.com/watch?v=_jx0Rh2JvKw,252568,82,UNICEF Indonesia,https://www.youtube.com/channel/UCLPBB674pZKov_gvXEUlIHA,23500,571,29
96B8NsfXxUs,2022 Year in Review | Global Peace Foundation,https://www.youtube.com/watch?v=96B8NsfXxUs,68845,25,Global Peace Foundation,https://www.youtube.com/channel/UCUc_CFLrDIWFDz_tsAfw0NQ,6210,815,29
4W3Bc1R8ofc,#LebihDariBerbagi Mewujudkan Ramadan Penuh Kebersamaan dan Kedamaian untuk Anak-Anak di Pesantren,https://www.youtube.com/watch?v=4W3Bc1R8ofc,454303,15,UNICEF Indonesia,https://www.youtube.com/channel/UCLPBB674pZKov_gvXEUlIHA,23500,571,29
dLsLs75VjYg,Ajinomoto Health Provider - School Lunch Program,https://www.youtube.com/watch?v=dLsLs75VjYg,389892,34,Dapur Umami,https://www.youtube.com/channel/UCk_WBIUtm6i5hVTE_8TQKYg,280000,837,29
gt4BE3-VZ0g,Keluaran  18: 1-12 | Bukan karena Aku Tapi karena Dia | Renungan &amp; Doa Nas GKE,https://www.youtube.com/watch?v=gt4BE3-VZ0g,306,48,Resort GKE Singkawang Official,https://www.youtube.com/channel/UCB7XOsdiGc-QF0U6-U-26Nw,1500,239,29
KZlh8zsr3tg,Renungan Harian HKBP Jatisampurna - 21 April 2023,https://www.youtube.com/watch?v=KZlh8zsr3tg,246,37,HKBP RESSORT JATISAMPURNA,https://www.youtube.com/channel/UCI2cnZMVPI0L706ngH5o6Gw,2010,430,29
FWEgRgVznd0,"【此生如花】嵯峨野觀光鐵道 Sakura Japan 2023 Osaka Kyoto Nara Train,  Yoshino Park, Sagano Romantic Train 【謝如仙】",https://www.youtube.com/watch?v=FWEgRgVznd0,209,6,Joo-Sian Seah,https://www.youtube.com/channel/UCElePr5RKOgAskthv9lE-bA,14,13,29
VeRnYUevy34,Joel Kids Online Srevice - Roger City Eps 10  &quot; Hati yang Percaya &quot;,https://www.youtube.com/watch?v=VeRnYUevy34,227,113,Higher Than Ever Church,https://www.youtube.com/channel/UC_pafLxcUZMC7SX9J0nawRg,27400,1881,29
MzBkDr8qfM8,AO VIVO | CULTO NO LAR | REDE BRASIL - IEADPE - 25/05/23,https://www.youtube.com/watch?v=MzBkDr8qfM8,7864,392,REDE BRASIL OFICIAL,https://www.youtube.com/channel/UCubxEhRi56_V4_eTzzcFwkA,569000,5219,29
8gYfFnw85jA,7 Saturdays to a more fire-resistant home: Get Set and Go!,https://www.youtube.com/watch?v=8gYfFnw85jA,575313,287656,Pacific Gas & Electric,https://www.youtube.com/channel/UCd1lv4o2Yhbv4Yg-sZvgM2A,33200,1201,29
i84_8n3mebg,"Ngobrol Bisnis Tapi Nagih x Podcast Ancur: Dari Review Produk Orang, Jadi Bisnis Sendiri Eps 2.2",https://www.youtube.com/watch?v=i84_8n3mebg,356445,66,Bank BTN,https://www.youtube.com/channel/UCWpG0IG6UaUfBy4FWlJfOJA,25700,293,29
qAWmnfu3p4c,1.5 Degrees of Confusion - Episode 1 - Individuals vs Businesses,https://www.youtube.com/watch?v=qAWmnfu3p4c,42545,2,Ecologi,https://www.youtube.com/channel/UCKUr5skdKV-GL6bV_-krprg,1040,179,29
2H0Q5yTJLFY,True Diversity: Ian Rowe&#39;s Story,https://www.youtube.com/watch?v=2H0Q5yTJLFY,119265,59632,Philanthropy Roundtable,https://www.youtube.com/channel/UCK1YwMQSYqyxK_gQPgJewLA,3170,305,29
TDgV48kXIRE,Fit One More — Whirlpool® Dishwashers with the Largest Capacity Third Rack,https://www.youtube.com/watch?v=TDgV48kXIRE,11709726,13,Whirlpool USA,https://www.youtube.com/channel/UCr-3ihEg0oShvIrj2klsXMA,13900,128,29
ePm8vq5LqTg,COVID-19 and HIV (Updated in 2023),https://www.youtube.com/watch?v=ePm8vq5LqTg,34689,4,CATIE,https://www.youtube.com/channel/UCnqxRkF2v-JhVs6WhHh2Pow,3640,275,29
B2oc8aVkfzg,"Tahniah Idul Fitri 1444 H - Ustadz Jefri Halim, Lc., MA",https://www.youtube.com/watch?v=B2oc8aVkfzg,236,15,Ashiil TV,https://www.youtube.com/channel/UC-tEtTRwEpRmlo26dGTpanA,64000,4939,29
SlkqQKrKZpI,"Novena Hati Kudus Tuhan Yesus | Jumat, 21 April 2023 | Bahasa Indonesia | 18:00 WIB",https://www.youtube.com/watch?v=SlkqQKrKZpI,460,15,Paroki Pugeran,https://www.youtube.com/channel/UCn70g4nCJJINbO-RDf7jbRA,3360,563,29
qvPiOlf4HKs,SAAT AKU PERCAYA PADA-NYA | RENUNGAN PAGI HARI INI,https://www.youtube.com/watch?v=qvPiOlf4HKs,292,36,Kornelius Media,https://www.youtube.com/channel/UCJAGsVDXiXnf1yiJlT0QqRQ,8300,1856,29
5Do3jLfNCBc,"ReHat, 27 April 2023 - Pdt. Sa&#39;bara&#39;, S.Th., M.M.",https://www.youtube.com/watch?v=5Do3jLfNCBc,217,13,Gereja Toraja Jemaat Tangerang,https://www.youtube.com/channel/UClP-RxyEIx7JuABj_eFQ7fw,4560,1322,29
Q4QpxTpYXsA,Jalan Menuju Pemilu: Adakah Calon yang Visinya Menyentuh Persoalan Rakyat? #Part7,https://www.youtube.com/watch?v=Q4QpxTpYXsA,609,38,IndoProgress TV,https://www.youtube.com/channel/UC-kuX8GmmCBOkfP9hRr31uA,25700,213,29
6VDsC17hpk0,"Misa Minggu Paskah ke 3 | Minggu, 23 April 2023",https://www.youtube.com/watch?v=6VDsC17hpk0,501,250,Paroki Tangerang,https://www.youtube.com/channel/UCY78rP2xMnC1zzA8pTzZKzw,12400,983,29
QOv6rukuf5c,Konferensi Pers KIKA tentang PermenPAN-RB No. 1 Tahun 2023,https://www.youtube.com/watch?v=QOv6rukuf5c,736,36,Kaukus Indonesia Kebebasan Akademik,https://www.youtube.com/channel/UCZryml_95I_Nw6eyJlg3U3A,1030,56,29
eAAoOSdYpnQ,Amir Nasional: Selamat untuk Program Semarak Ramadan Ahmadiyah 2023 (SERASI),https://www.youtube.com/watch?v=eAAoOSdYpnQ,488,38,Warta Ahmadiyah,https://www.youtube.com/channel/UCa8B_FmV4rsd2naS7HIQbSQ,3530,253,29
UWX0nf8X_Cw,"Ibadah Umum| Minggu, 23 April 2023 | FREED, TO SERVE GOD | Pdm. Dwi Kurniawan",https://www.youtube.com/watch?v=UWX0nf8X_Cw,154,10,GIA Maleer,https://www.youtube.com/channel/UC8XMIDSaZSUYpRMvwCDkrhA,660,314,29
OP6P3FQ7BqA,Jangan Takut - EV MM Satiti Yuwono 20 April 2023,https://www.youtube.com/watch?v=OP6P3FQ7BqA,227,5,JKI PONDOK DAUD OFFICIAL,https://www.youtube.com/channel/UCzoi2ATEpW57KxrGrAYyWdg,900,1124,29
sCCQkU23E5c,Marsya Shinta Berbagi Hidup: Long Distance Relationship…. Idealkah??,https://www.youtube.com/watch?v=sCCQkU23E5c,176,8,PIJAR TV,https://www.youtube.com/channel/UCGI_xqoflHi62_PiAAZNcTg,172000,970,29
XtP1CR2TIxc,Miss Congeniality 2: Armed And Fabulous,https://www.youtube.com/watch?v=XtP1CR2TIxc,314,157,YouTube Movies,https://www.youtube.com/channel/UCFwtGTZ-o2nAte8PR3JaiFw,4,14,30
B6ZEJOTz4zc,Nick Jr. - Fearless Friends Friday Premieres - Paw Patrol Promo,https://www.youtube.com/watch?v=B6ZEJOTz4zc,855,8,Soulemani Sakare,https://www.youtube.com/channel/UC1IoaRDzZXcSar8KwghvuRw,4,16,31
olZ6rfgK5Jw,"Ursa vs Sven Dota2 Miracle Sven, badman ursa",https://www.youtube.com/watch?v=olZ6rfgK5Jw,720,5,Duy Khanh Le,https://www.youtube.com/channel/UCR14ObbzEt-fw00wGkxQznA,636,151,32
h7B6ge_rRuo,I don&#39;t usually play cards,https://www.youtube.com/watch?v=h7B6ge_rRuo,435,0,Duy Khanh Le,https://www.youtube.com/channel/UCR14ObbzEt-fw00wGkxQznA,636,151,32
cDhZfeqsemk,Sean&#39;s Birthday / Masked Man / Bri Bri - Last Exit 11-30-08,https://www.youtube.com/watch?v=cDhZfeqsemk,468,1,The Last Exit for The Metallic Onslaught Radio Shows,https://www.youtube.com/channel/UCRx-6QbN3gOgwCTqedVYgoA,731,1214,34
3tYpYpGfR60,Institucional e historia MAS QUE VENCEDORES - PR. EMILIO AGUERO ESGAIB,https://www.youtube.com/watch?v=3tYpYpGfR60,5362,14,efrain arias,https://www.youtube.com/channel/UCOIAUU09GOheBDPXtu04ymQ,25,24,34
QV50GDU6qhM,One On One With Deez Nuts - FilmFools Skits,https://www.youtube.com/watch?v=QV50GDU6qhM,238,12,FilmFools Productions,https://www.youtube.com/channel/UCqRrKdYjP8bfv0PDML6KL5g,177,24,34
t3V25dbR8pk,Mia maquillandose - Dia de la madre video 1,https://www.youtube.com/watch?v=t3V25dbR8pk,323,1,efrain arias,https://www.youtube.com/channel/UCOIAUU09GOheBDPXtu04ymQ,25,24,34
9wBn1s_l2kE,What An Irish Girl&#39;s Fake Tan Means | Clisare Roisin Thora,https://www.youtube.com/watch?v=9wBn1s_l2kE,33897,924,Clisare,https://www.youtube.com/channel/UC4zJAMaYN592qQhMR2OfX_Q,129000,552,34
